WBS/SERVIZIO,PIPING_CODE,DN,LINEA,QTA',ZONA,SPESSORATO,NUM_ACCESSORI,DN_2,NUM_RID,NO_CUR,NO_GIUNZ,CODICE_MATERIALE,DESCRIZIONE_CODICE_MATERIALE,MARCA_PEZZO,COMMENTO,DOCUMENTO,VS,COLLAUDO,PESO_UNITARIO,REPORT SCHEDULA
AP,3SS16,125,240 063,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 062,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 061,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 022,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 066,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 065,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 064,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 024,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 069,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 068,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 067,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 026,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 072,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 071,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 070,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 028,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 075,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 074,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 073,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 030,10,C2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 051,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 050,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 049,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 014,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 054,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 053,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 052,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 016,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 057,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 056,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 055,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 018,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 060,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 059,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 058,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 020,10,E1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 039,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 038,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 037,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 006,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 042,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 041,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 040,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 008,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 045,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 044,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 043,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 010,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 048,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 047,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 046,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 012,10,F1,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 033,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 032,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 031,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 002,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,125,240 036,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,150,240 035,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,200,240 034,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,3SS16,100,240 004,10,F2,,,,,,,,,,,,,,,A,SU PIPING PREVISTE FLANGE DA DN15 A DN200
AP,,,,10,C2,,,,,,,A5063221508I,,,,,,,,,
AP,,,,10,E1,,,,,,,A5063221508I,,,,,,,,,
AP,,,,10,F1,,,,,,,A5063221508I,,,,,,,,,
AP,,,,10,F2,,,,,,,A5063221508I,,,,,,,,,
AP,,,,10,C2,,,,,,,A5382121508L,,,,,,,,,
AP,,,,10,E1,,,,,,,A5382121508L,,,,,,,,,
AP,,,,10,F1,,,,,,,A5382121508L,,,,,,,,,
AP,,,,10,F2,,,,,,,A5382121508L,,,,,,,,,
AP,,,,10,C2,,,,,,,A5063221608J,,,,,,,,,
AP,,,,10,E1,,,,,,,A5063221608J,,,,,,,,,
AP,,,,10,F1,,,,,,,A5063221608J,,,,,,,,,
AP,,,,10,F2,,,,,,,A5063221608J,,,,,,,,,
AP,,,,10,C2,,,,,,,A5382121608T,,,,,,,,,
AP,,,,10,E1,,,,,,,A5382121608T,,,,,,,,,
AP,,,,10,F1,,,,,,,A5382121608T,,,,,,,,,
AP,,,,10,F2,,,,,,,A5382121608T,,,,,,,,,
AP,,,,10,C2,,,,,,,A5063221808K,,,,,,,,,
AP,,,,10,E1,,,,,,,A5063221808K,,,,,,,,,
AP,,,,10,F1,,,,,,,A5063221808K,,,,,,,,,
AP,,,,10,F2,,,,,,,A5063221808K,,,,,,,,,
AP,,,,10,C2,,,,,,,A5382121808I,,,,,,,,,
AP,,,,10,E1,,,,,,,A5382121808I,,,,,,,,,
AP,,,,10,F1,,,,,,,A5382121808I,,,,,,,,,
AP,,,,6,F2,,,,,,,A5382121808I,,,,,,,,,
AP,,,,16,C2,,,,,,,A5063222008L,,,,,,,,,
AP,,,,10,E1,,,,,,,A5063222008L,,,,,,,,,
AP,,,,1,F1,,,,,,,A5063222008L,,,,,,,,,
AP,,,,10,F2,,,,,,,A5063222008L,,,,,,,,,
AP,,,,16,C2,,,,,,,A5382122008H,,,,,,,,,
AP,,,,8,E1,,,,,,,A5382122008H,,,,,,,,,
AP,,,,10,F1,,,,,,,A5382122008H,,,,,,,,,
AP,,,,8,F2,,,,,,,A5382122008H,,,,,,,,,
